Date,Last Price,Volume,SMAVG (15)
12/10/2016,117.34,37586788,33588828
11/10/2016,116.3,64041044,33483252
10/10/2016,116.05,36235956,31514802
07/10/2016,114.06,24358444,32233940
06/10/2016,113.89,28779312,35935840
05/10/2016,113.05,21453088,40058096
04/10/2016,113,29736836,46117244
03/10/2016,112.52,21701760,48279868
30/09/2016,113.05,36379104,49852604
29/09/2016,112.18,35886992,50531128
28/09/2016,113.95,29641084,51672128
27/09/2016,113.09,24607412,52520348
26/09/2016,112.88,29869442,52671880
23/09/2016,112.71,52481152,52467412
22/09/2016,114.62,31073984,50748772
21/09/2016,113.55,36003184,50654664
20/09/2016,113.57,34514268,49912048
19/09/2016,113.58,47023048,49275784
16/09/2016,114.92,79886912,47992000
15/09/2016,115.57,90613176,44338624
14/09/2016,111.77,112340320,39876084
13/09/2016,107.95,62176192,33803908
12/09/2016,105.44,45292768,31380176
09/09/2016,103.13,46556984,30051862
08/09/2016,105.52,53002024,28413710
07/09/2016,108.36,42364328,26570640
06/09/2016,107.7,26880392,25999316
02/09/2016,107.73,26802450,25931836
01/09/2016,106.73,26701524,25389036
31/08/2016,106.1,29662406,25441234
30/08/2016,106,24863944,25064308
29/08/2016,106.82,24970300,25161058
26/08/2016,106.94,27766292,25365520
25/08/2016,107.57,25086248,26217994
24/08/2016,108.03,23675080,26372820
23/08/2016,108.85,21257668,26807990
22/08/2016,108.51,25820230,27645250
19/08/2016,109.36,25368072,28468426
18/08/2016,109.08,21984704,28626134
17/08/2016,109.22,25355976,29818476
16/08/2016,109.38,33794448,34284400
15/08/2016,109.48,25868208,35780756
12/08/2016,108.18,18660434,36748404
11/08/2016,107.93,27484506,37391952
10/08/2016,108,24008504,37739788
09/08/2016,108.81,26315204,37890952
08/08/2016,108.37,28037220,37721936
05/08/2016,107.48,40553400,38285712
04/08/2016,105.87,27408650,37591284
03/08/2016,105.79,30202640,38358640
02/08/2016,104.48,33816556,38071276
01/08/2016,106.05,38167872,37428004
29/07/2016,104.21,27733688,36469808
28/07/2016,104.34,39869840,36548368
27/07/2016,102.95,92344816,35565800
26/07/2016,96.67,56239824,31472752
25/07/2016,97.34,40382920,29570444
22/07/2016,98.66,28313668,28613352
21/07/2016,99.43,32702028,29114864
20/07/2016,99.96,26275968,29370130
19/07/2016,99.87,23779924,30314726
18/07/2016,99.83,36493868,31837544
